Gen,BestScore,BestWeights
1,0.0,"[173.77, 146.41, 10.818166391515145, 29.0, 7.18, -8.1]"
2,0.0,"[173.77, 146.41, 10.818166391515145, 29.0, 7.18, -8.1]"
3,0.21999999999999997,"[173.77, 146.41, 2.0959731987585233, 29.0, 7.18, -8.1]"
4,0.21999999999999997,"[173.77, 146.41, 2.0959731987585233, 29.0, 7.18, -8.1]"
5,0.2999999999999998,"[179.97997511220666, 146.41, 2.0959731987585233, 29.0, 7.18, -8.1]"
6,1.06,"[173.77, 146.41, 2.0959731987585233, 30.22972300394153, 1.0, -8.1]"
7,0.2799999999999998,"[179.97997511220666, 146.41, 2.0959731987585233, 29.0, 17.08320535285364, -8.1]"
8,2.3,"[173.77, 159.93028008163802, 2.0959731987585233, 30.22972300394153, 1.0, -8.1]"
9,1.26,"[186.51583362136316, 146.41, 2.0959731987585233, 29.0, 17.08320535285364, -8.1]"
10,2.2800000000000002,"[173.77, 159.93028008163802, 2.0959731987585233, 30.22972300394153, 7.105104067380594, -8.1]"
11,2.3200000000000003,"[173.77, 159.93028008163802, 0.0, 30.22972300394153, 7.105104067380594, -8.1]"
12,2.3600000000000003,"[177.02584595557929, 146.41, 0.0, 29.0, 17.08320535285364, -8.1]"
13,0,"[177.02584595557929, 146.41, 0.0, 29.0, 17.08320535285364, -8.1]"
14,1.08,"[178.40041522062126, 146.41, 0.0, 29.0, 17.08320535285364, 0.0]"
15,0.1399999999999999,"[177.02584595557929, 146.41, 1.8969240477814964, 36.822718032146284, 17.08320535285364, -8.1]"
16,0.1399999999999999,"[177.02584595557929, 146.41, 1.8969240477814964, 36.822718032146284, 17.08320535285364, -8.1]"
17,2.34,"[177.02584595557929, 146.41, 6.286571570854409, 36.822718032146284, 17.08320535285364, -8.1]"
18,0.0,"[177.02584595557929, 146.41, 6.286571570854409, 36.822718032146284, 17.08320535285364, -8.1]"
19,0.0,"[177.02584595557929, 146.41, 6.286571570854409, 36.822718032146284, 17.08320535285364, -8.1]"
20,0.0,"[177.02584595557929, 146.41, 6.286571570854409, 36.822718032146284, 17.08320535285364, -8.1]"
21,0.040000000000000036,"[177.02584595557929, 146.41, 3.8091491121741576, 36.822718032146284, 17.08320535285364, -8.1]"
22,1.1,"[177.02584595557929, 146.41, 6.286571570854409, 36.822718032146284, 17.08320535285364, 0.0]"
23,2.26,"[177.02584595557929, 146.41, 0.0, 36.822718032146284, 17.08320535285364, 0.0]"
24,2.12,"[177.02584595557929, 146.41, 10.775820988358124, 36.822718032146284, 12.34468875331968, -8.1]"
25,0.24,"[177.02584595557929, 146.41, 0.0, 46.05675291428575, 17.08320535285364, 0.0]"
26,0.33999999999999986,"[177.02584595557929, 146.41, 10.775820988358124, 27.568951554389102, 12.34468875331968, -8.1]"
