Gen,BestScore,BestWeights
1,1.1216666666666668,"[191.16, 124.67, 13.55, 12.44, 9.65, -10.0]"
2,0.8066666666666666,"[191.16, 124.67, 13.55, 10.0, 1.0, -10.0]"
3,1.1300000000000001,"[191.16, 124.67, 13.55, 10.0, 1.0, -10.0]"
4,1.1216666666666668,"[191.16, 124.67, 20.019356076764655, 17.505726242647796, 5.461307415944216, -10.0]"
5,1.17,"[191.16, 124.67, 20.019356076764655, 17.505726242647796, 5.461307415944216, -10.0]"
6,1.1216666666666668,"[191.16, 124.67, 20.019356076764655, 17.505726242647796, 5.461307415944216, -10.0]"
7,1.1150000000000002,"[191.16, 124.67, 20.019356076764655, 17.505726242647796, 5.461307415944216, -10.0]"
8,1.1216666666666668,"[191.16, 124.67, 20.019356076764655, 17.505726242647796, 5.461307415944216, -10.0]"
9,1.1383333333333334,"[191.16, 124.67, 20.019356076764655, 10.0, 15.0, -10.0]"
10,1.1216666666666668,"[191.16, 124.67, 20.019356076764655, 17.505726242647796, 5.461307415944216, -10.0]"
11,1.125,"[191.16, 124.67, 20.019356076764655, 17.505726242647796, 5.461307415944216, -10.0]"
12,1.1233333333333333,"[191.16, 124.67, 20.019356076764655, 17.505726242647796, 5.461307415944216, -10.0]"
13,1.1616666666666668,"[191.16, 124.67, 20.019356076764655, 17.505726242647796, 5.461307415944216, -10.0]"
14,1.09,"[191.16, 124.67, 20.019356076764655, 20.712605579309148, 5.461307415944216, -12.923737421106]"
15,1.13,"[191.16, 124.67, 20.019356076764655, 20.712605579309148, 5.461307415944216, -12.923737421106]"
16,1.116666666666667,"[191.16, 124.67, 20.019356076764655, 17.505726242647796, 5.461307415944216, -10.0]"
17,1.0950000000000002,"[191.16, 124.67, 20.019356076764655, 21.3820703635975, 5.461307415944216, -10.0]"
18,1.1216666666666668,"[191.16, 124.67, 23.1089699694988, 17.505726242647796, 5.461307415944216, -10.0]"
19,1.1400000000000001,"[191.16, 126.5632670405039, 20.019356076764655, 21.3820703635975, 5.461307415944216, -10.0]"
20,1.1816666666666669,"[191.16, 126.5632670405039, 20.019356076764655, 21.3820703635975, 5.461307415944216, -10.0]"
